county_name,number_of_cases,eligible_individuals,individuals_under_5,individuals_5-17,individuals_18-59,individuals_60-64,individuals_over_64,total_snap_payments,avg_snap_payment,month,year,payment_inflation_adjusted
Hays,6015,14667,2470,5529,5563,362,743,"$1,619,615",$269.26,November,2018,$346.11
Lampasas,1067,2445,312,812,1073,93,155,"$262,734",$246.24,November,2018,$316.52
Lee,788,1842,326,668,691,57,100,"$193,943",$246.12,November,2018,$316.37
Limestone,1676,3760,547,1316,1513,126,258,"$400,575",$239.01,November,2018,$307.23
Llano,883,1909,304,565,752,103,185,"$197,620",$223.81,November,2018,$287.69
McLennan,16021,36679,6213,12831,14551,1233,1851,"$4,018,799",$250.85,November,2018,$322.45
Milam,1857,4192,592,1431,1661,187,321,"$455,311",$245.19,November,2018,$315.17
Mills,177,404,51,127,175,17,34,"$41,174",$232.62,November,2018,$299.02
San Saba,343,747,100,240,303,42,62,"$80,004",$233.25,November,2018,$299.83
Travis,44453,97296,16894,37310,34410,2916,5766,"$11,518,387",$259.11,November,2018,$333.07
Williamson,11435,28049,4571,10652,10340,662,1824,"$3,089,794",$270.20,November,2018,$347.32
Bastrop,4397,10439,1784,4118,3649,331,557,"$1,202,684",$273.52,December,2018,$352.72
Bell,22629,55114,9037,19646,22769,1475,2187,"$6,219,784",$274.86,December,2018,$354.44
Blanco,254,544,86,175,213,19,51,"$57,794",$227.54,December,2018,$293.42
Burnet,1677,3924,638,1372,1467,141,306,"$409,044",$243.91,December,2018,$314.53
Caldwell,2436,5990,1020,2298,2111,191,370,"$673,719",$276.57,December,2018,$356.65
Coryell,3480,8401,1342,2851,3574,248,386,"$917,258",$263.58,December,2018,$339.90
Falls,1352,2804,413,872,1140,131,248,"$295,896",$218.86,December,2018,$282.23
Fayette,823,1824,282,642,678,67,155,"$192,171",$233.50,December,2018,$301.11
Freestone,1045,2297,354,742,927,91,183,"$256,380",$245.34,December,2018,$316.38
Gillespie,584,1412,228,520,501,44,119,"$142,466",$243.95,December,2018,$314.58
Hays,5911,14450,2431,5461,5453,363,742,"$1,595,256",$269.88,December,2018,$348.02
Lampasas,1067,2416,301,796,1060,97,162,"$259,306",$243.02,December,2018,$313.38
Lee,778,1824,322,659,686,58,99,"$194,599",$250.13,December,2018,$322.55
Limestone,1626,3637,534,1253,1478,122,250,"$389,398",$239.48,December,2018,$308.82
Llano,889,1912,298,563,760,100,191,"$199,812",$224.76,December,2018,$289.84
McLennan,15677,35787,6002,12516,14188,1231,1850,"$3,931,297",$250.77,December,2018,$323.38
Milam,1844,4117,562,1412,1634,191,318,"$448,160",$243.04,December,2018,$313.41
Mills,173,392,50,124,166,17,35,"$40,795",$235.81,December,2018,$304.09
San Saba,347,765,105,242,310,42,66,"$80,241",$231.24,December,2018,$298.19
Travis,43434,95099,16485,36490,33480,2910,5734,"$11,277,165",$259.64,December,2018,$334.82
Williamson,11167,27307,4435,10407,10003,655,1807,"$3,011,102",$269.64,December,2018,$347.71
Bastrop,4383,10443,1798,4138,3624,335,548,"$1,173,529",$267.75,January,2019,$344.62
Bell,22632,54944,8979,19513,22805,1461,2186,"$6,070,090",$268.21,January,2019,$345.21
Blanco,251,533,85,169,207,20,52,"$55,867",$222.58,January,2019,$286.48
Burnet,1714,4003,648,1393,1503,152,307,"$408,137",$238.12,January,2019,$306.48
