county_name,number_of_cases,eligible_individuals,individuals_under_5,individuals_5-17,individuals_18-59,individuals_60-64,individuals_over_64,white,black,native_american,asian,pacific_islander,multi_race,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total_snap_payments,avg_snap_payment,month,year
MITCHELL,182,396,53,121,170,18,34,298,3,0,5,0,2,88,101,229,66,"$38,880",$214,January,2018
MONTAGUE,398,1007,133,367,398,37,72,562,98,5,1,3,3,335,419,488,100,"$103,852",$261,January,2018
MONTGOMERY,1058,2327,344,711,1028,105,139,1850,21,7,4,0,18,427,281,1795,251,"$249,902",$236,January,2018
MOORE,20692,48839,8557,18517,17923,1330,2512,28954,5565,165,469,77,356,13253,16343,27322,5174,"$5,490,129",$265,January,2018
MORRIS,797,2171,413,832,764,46,116,1026,49,11,192,5,2,886,1237,701,233,"$227,077",$285,January,2018
MOTLEY,1158,2495,371,791,1064,104,165,1179,710,7,8,0,16,575,240,1918,337,"$259,932",$224,January,2018
NACOGDOCHES,61,142,15,46,53,4,24,91,7,0,0,1,1,42,45,75,22,"$10,804",$177,January,2018
NAVARRO,4805,10855,1785,3963,4276,322,509,4263,3481,26,47,9,60,2969,2523,7122,1210,"$1,166,851",$243,January,2018
NEWTON,3741,8551,1458,3052,3301,288,452,3995,1932,19,25,108,69,2403,2286,5238,1027,"$934,688",$250,January,2018
NOLAN,1160,2385,284,691,1135,106,169,1197,716,19,3,0,19,431,65,2049,271,"$262,610",$226,January,2018
NUECES,1103,2656,400,930,1090,88,148,1483,216,7,2,5,28,915,1178,1209,269,"$286,780",$260,January,2018
OCHILTREE,31599,71465,10655,24080,30159,2347,4224,43572,3596,156,291,114,152,23584,52124,12989,6352,"$8,157,841",$258,January,2018
OLDHAM,291,716,129,274,247,19,47,448,20,6,0,0,0,242,400,255,61,"$79,736",$274,January,2018
ORANGE,49,133,27,36,57,2,11,103,0,1,3,0,1,25,18,95,20,"$14,061",$287,January,2018
PALO PINTO,6052,13505,2097,4194,6088,503,623,8231,2584,46,90,11,62,2481,989,10944,1572,"$1,558,914",$258,January,2018
PANOLA,1699,3865,592,1250,1620,160,243,2636,179,14,11,2,32,991,699,2664,502,"$411,736",$242,January,2018
PARKER,1605,3502,513,1145,1453,142,249,1804,949,18,22,1,18,690,275,2795,432,"$379,973",$237,January,2018
PARMER,4187,9970,1525,3425,4135,343,542,7326,310,51,46,10,70,2157,1675,7174,1121,"$1,076,814",$257,January,2018
PECOS,288,801,150,321,254,18,58,468,20,1,5,1,0,306,579,155,67,"$79,106",$275,January,2018
POLK,796,1987,345,714,626,68,234,1274,29,5,10,8,9,652,1550,276,161,"$200,237",$252,January,2018
POTTER,3873,8301,1196,2558,3583,393,571,5230,1041,131,26,6,43,1824,1008,6258,1035,"$918,986",$237,January,2018
PRESIDIO,9812,23581,3788,8554,9197,769,1273,10560,3913,132,1016,47,173,7740,9241,11369,2971,"$2,502,140",$255,January,2018
RAINS,783,1584,163,487,387,57,490,662,10,2,3,10,0,897,1357,60,167,"$150,454",$192,January,2018
RANDALL,672,1475,190,469,632,76,108,1134,48,5,9,2,4,273,117,1194,164,"$153,742",$229,January,2018
REAGAN,3827,9361,1550,3197,3932,282,400,5655,802,58,128,4,85,2629,2823,5391,1147,"$977,698",$255,January,2018
REAL,98,261,63,93,85,7,13,160,7,0,5,3,0,86,188,43,30,"$29,152",$297,January,2018
RED RIVER,219,498,76,152,199,19,52,359,2,5,1,0,2,129,188,237,73,"$52,290",$239,January,2018
REEVES,977,1937,253,577,797,89,221,991,535,11,2,1,21,376,159,1491,287,"$188,343",$193,January,2018
REFUGIO,758,1727,297,576,575,60,219,1076,32,6,6,6,2,599,1444,123,160,"$172,871",$228,January,2018
ROBERTS,486,1197,172,409,481,45,90,616,118,2,1,5,3,452,711,378,108,"$122,098",$251,January,2018
ROBERTSON,14,29,6,6,13,2,2,22,1,0,0,0,0,6,6,19,4,"$3,736",$267,January,2018
ROCKWALL,1512,3196,483,1082,1304,111,216,1112,1193,4,7,3,21,856,642,2055,499,"$354,466",$234,January,2018
RUNNELS,1674,4207,684,1670,1487,120,246,2165,799,26,73,16,44,1084,1108,2681,418,"$455,467",$272,January,2018
RUSK,596,1381,164,456,592,43,126,864,45,2,2,5,7,456,633,610,138,"$131,174",$220,January,2018
SABINE,3190,7254,1023,2643,2899,258,431,3643,1816,21,19,8,46,1701,1210,5207,837,"$788,064",$247,January,2018
SAN AUGUSTINE,982,2039,238,610,959,101,131,1431,260,10,1,1,17,319,85,1749,205,"$224,102",$228,January,2018
SAN JACINTO,848,1725,203,549,779,51,143,790,601,1,1,0,5,327,98,1407,220,"$190,346",$224,January,2018
SAN PATRICIO,2577,5307,703,1563,2453,227,361,3446,708,19,14,2,42,1076,686,4039,582,"$628,384",$244,January,2018
SAN SABA,5277,12985,1992,4501,5240,401,851,7671,313,40,41,19,28,4873,9057,2766,1162,"$1,425,283",$270,January,2018
SCHLEICHER,341,780,125,233,332,30,60,533,8,1,2,2,3,231,264,376,140,"$81,831",$240,January,2018
SCURRY,104,263,38,97,93,9,26,181,5,0,0,2,0,75,202,37,24,"$23,744",$228,January,2018
SHACKELFORD,803,1988,313,720,789,55,111,1160,82,6,4,5,16,715,1104,695,189,"$221,291",$276,January,2018
SHELBY,164,390,45,130,167,13,35,318,8,0,3,0,6,55,55,295,40,"$41,040",$250,January,2018
SHERMAN,2182,4848,751,1752,1880,152,313,2406,1370,16,50,7,20,979,897,3474,477,"$529,523",$243,January,2018
SMITH,57,177,35,78,50,4,10,127,0,0,0,0,1,49,120,45,12,"$15,532",$272,January,2018
SOMERVELL,12107,28262,4811,10094,11021,878,1458,11349,8711,82,157,25,179,7759,6864,18411,2987,"$3,058,616",$253,January,2018
STARR,345,790,134,259,317,32,48,528,15,4,14,0,5,224,204,493,93,"$86,947",$252,January,2018
STEPHENS,9493,22573,3360,8224,7100,636,3253,10949,37,17,20,69,2,11479,20126,296,2151,"$2,412,499",$254,January,2018
STERLING,748,1647,212,512,773,54,96,1132,39,2,4,1,3,466,402,1088,157,"$176,944",$237,January,2018
STONEWALL,34,94,20,33,34,4,3,74,0,0,0,0,1,19,45,41,8,"$9,355",$275,January,2018
SUTTON,55,129,18,42,51,4,14,79,12,0,3,0,2,33,42,62,25,"$11,147",$203,January,2018
SWISHER,151,389,70,137,133,11,38,265,1,2,2,1,1,117,279,72,38,"$39,149",$259,January,2018
TARRANT,495,1299,203,488,501,24,83,586,169,10,2,8,3,521,691,487,121,"$139,990",$283,January,2018
TAYLOR,97279,234248,39858,89372,85256,6597,13165,82895,73060,912,8050,717,1792,66822,75282,134889,24077,"$26,266,728",$270,January,2018
TERRELL,8696,20183,3064,6804,8684,579,1052,11148,3394,89,166,48,278,5060,7164,11060,1959,"$2,095,324",$241,January,2018
TERRY,49,105,11,32,39,7,16,79,5,0,1,0,0,20,61,39,5,"$11,128",$227,January,2018
