county,census_tract,population,food_insecure_population_percent,food_insecure_population
Travis,3.05,3375,0.1703370072,574.8873993
Travis,3.07,2017,0.1513131986,305.1987215762
Travis,3.08,2704,0.1739320405,470.312237512
Travis,3.09,5520,0.152019425,839.147226
Travis,4.01,4418,0.1869225178,825.8236836404
Travis,4.02,3552,0.2106585087,748.2590229024
Travis,5,3945,0.1930159785,761.4480351825
Travis,6.01,9834,0.3021918963,2971.7551082142
Travis,6.05,3191,0.2704018901,862.8524313091
Travis,6.06,3907,0.260583421,1018.099425847
Travis,6.07,2918,0.2629968188,767.4247172584
Travis,6.08,4473,0.2820576069,1261.6436756637
Travis,7,1212,0.1765740927,214.0078003524
Travis,8.01,2222,0.1995998874,443.5109498028
Travis,8.02,3709,0.2967722559,1100.7282971331
Travis,8.03,3396,0.1572261402,533.9399721192
Travis,8.04,2444,0.2762911001,675.2554486444
Travis,9.01,3215,0.1912815433,614.9701617095
Travis,9.02,6918,0.2388777448,1652.5562385264
Travis,10,3190,0.1652103979,527.021169301
Travis,11.01,1660,0.270948165,449.7739539
Travis,11.02,3606,0.1320789464,476.2766807184
Travis,11.03,3886,0.1573829868,611.5902867048
Travis,12,6588,0.1423813524,938.0083496112
Travis,13.04,4210,0.1371912549,577.575183129
Travis,13.07,5087,0.2184948013,1111.4830542131
Travis,13.08,3051,0.1568829498,478.6498798398
Travis,13.09,2911,0.1242900251,361.8082630661
Travis,13.1,3956,0.1883435623,745.0871324588
Travis,13.11,1323,0.1732989822,229.2745534506
Travis,13.12,4613,0.1636574018,754.9515945034
Travis,14.01,2736,0.1332751806,364.6408941216
Travis,14.02,2320,0.1295415365,300.53636468
Travis,14.03,1569,0.2423358756,380.2249888164
Travis,15.01,5666,0.1060262501,600.7447330666
Travis,15.03,5547,0.1856474814,1029.7865793258
Travis,15.04,6458,0.1368503775,883.779737895
Travis,15.05,4751,0.1473752695,700.1799053945
Travis,16.02,2912,0.1513595546,440.7590229952
Travis,16.03,4351,0.1030532225,448.3845710975
Travis,16.04,4143,0.0933927535,386.9261777505
Travis,16.05,4997,0.1365795011,682.4877669967
Travis,16.06,135,0.3308972562,44.671129587
Travis,19.1,4711,0.1228398781,578.6986657291
Travis,19.11,3006,0.1726105384,518.8672784304
Travis,19.12,4251,0.1152803949,490.0569587199
Travis,19.13,5281,0.1028683469,543.2477399789
Travis,19.14,6057,0.1271089111,769.8986745327
Travis,19.15,3233,0.1736676852,561.4676262516
Travis,19.16,3175,0.0946014129,300.3594859575
Travis,19.17,4274,0.0954195755,407.823265687
Travis,19.18,2606,0.0985924982,256.9320503092
Travis,19.19,3652,0.110798219,404.635095788
Travis,19.2,6866,0.1711495246,1175.1126359036
Travis,19.21,3737,0.1015930085,379.6530727645
Travis,19.22,2358,0.160726199,378.992377242
Travis,19.23,3423,0.145863892,499.292102316
Travis,20.02,2642,0.1229143384,324.7396820528
Travis,20.03,3414,0.2310175975,788.694077865
Travis,20.04,2911,0.22777645,663.05724595
Travis,20.06,2184,0.2225658659,486.0838511256
Travis,20.07,2181,0.1468430108,320.2646065548
Travis,21.04,2543,0.1535077224,390.3701380632
Travis,21.05,4526,0.3089639736,1398.3709445136
Travis,21.06,2679,0.1596155101,427.6099515579
Travis,21.07,4764,0.2020986969,962.7981920316
Travis,21.08,4659,0.2383536929,1110.4898552211
Travis,21.09,3758,0.1953830071,734.2493406818
Travis,21.1,3984,0.2444618971,973.9361980464
Travis,21.11,5376,0.1952341595,1049.578841472
Travis,21.12,5483,0.2425776733,1330.0533827039
Travis,21.13,3757,0.1496585595,562.2672080415
Travis,22.01,2491,0.2746885021,684.2490587311
Travis,22.11,4690,0.2049924105,961.414405245
Travis,22.13,4849,0.2225176067,1078.9878748883
Travis,22.14,3347,0.2045693807,684.6937172029
Travis,22.15,4197,0.2311072697,969.9572109309
Travis,22.16,10008,0.1861844648,1863.3341237184
Travis,22.17,6821,0.169572536,1156.654268056
Travis,22.18,5055,0.1837036751,928.6220776305
Travis,22.19,7508,0.2096107696,1573.7576581568
Travis,22.2,3940,0.338951092,1335.46730248
Travis,22.21,2677,0.2101205744,562.4927776688
Travis,22.22,2982,0.2024808364,603.7978541448
Travis,23.04,3727,0.1929051757,718.9575898339
Travis,23.07,4716,0.2230072845,1051.702353702
Travis,23.1,2731,0.2590092511,707.3542647541
Travis,23.13,3463,0.2830927191,980.3500862433
Travis,23.14,5441,0.2330849228,1268.2150649548
Travis,23.15,2756,0.2571467893,708.6965513108
Travis,23.16,3974,0.2884918317,1146.4665391758
Travis,23.19,2258,0.3580309728,808.4339365824
Travis,23.2,4328,0.2419338229,1047.0895855112
Travis,23.21,3551,0.2359344877,837.8033658227
Travis,23.22,2617,0.2305605598,603.3769849966
Travis,23.23,4537,0.2345626844,1064.2108991228
Travis,23.24,1661,0.2712029279,450.4680632419
Travis,23.25,4049,0.2963059844,1199.7429308356
Travis,23.26,908,0.2255192946,204.7715194968
Travis,23.27,4919,0.3244398086,1595.9194185034
Travis,24.03,2581,0.1820913713,469.9778293253
Travis,24.07,10270,0.1704534766,1750.557204682
Travis,24.09,3414,0.168119857,573.961191798
Travis,24.1,3452,0.2069482377,714.3853165404
Travis,24.11,4854,0.299278438,1452.697538052
Travis,24.12,4537,0.2039589576,925.3617906312
Travis,24.13,3263,0.3696843051,1206.2798875413
Travis,24.19,4325,0.289612986,1252.57616445
Travis,24.22,8310,0.1742917363,1448.364328653
Travis,24.23,6203,0.1571215738,974.6251222814
Travis,24.24,3503,0.2214101308,775.5996881924
Travis,24.3,2059,0.1584300902,326.2075557218
Travis,24.32,6216,0.2040907647,1268.6281933752
Travis,24.34,1935,0.1805109302,349.288649937
Travis,24.36,2551,0.1680715738,428.7505847638
Travis,24.37,4828,0.180861369,873.198689532
Travis,24.38,6905,0.1760986565,1215.9612231325
Travis,24.39,3539,0.2180341511,771.6228607429
Travis,24.4,6581,0.2163170621,1423.5825856801
Travis,24.41,5683,0.2136761697,1214.3216724051
Travis,24.42,3220,0.2040072137,656.903228114
Travis,24.43,4114,0.2204177081,906.7984511234
Travis,24.44,4017,0.1881705006,755.8809009102
Travis,24.45,7748,0.2049843558,1588.2187887384
Travis,24.46,1287,0.1590828923,204.7396823901
Travis,24.47,3183,0.2538532162,808.0147871646
Travis,24.48,8769,0.1901061163,1667.0405338347
Travis,24.49,6928,0.1882178521,1303.9732793488
Travis,24.5,3845,0.1881547711,723.4550948795
Travis,24.51,7511,0.1941384751,1458.1740864761
Travis,24.52,2787,0.1952492117,544.1595530079
Travis,24.53,5518,0.1665302748,918.9140563464
Travis,25,5925,0.159813477,946.894851225
Travis,300,4172,0.108173809,451.301131148
Travis,301,3244,0.1276199652,413.9991671088
Travis,302,5067,0.140065929,709.714062243
Travis,303,4247,0.1712663038,727.3679922386
Travis,304,4524,0.1500061013,678.6276022812
Travis,305,6827,0.1387998725,947.5867295575
Travis,306,6004,0.1491456153,895.4702742612
Travis,307,4106,0.098773398,405.563572188
Travis,308,4424,0.1803681546,797.9487159504
Travis,309,7452,0.1725448516,1285.8042341232
Travis,310,4469,0.1343528581,600.4229228489
Travis,311,5148,0.127862708,658.237220784
Travis,312,6849,0.1183654548,810.6849999252
Travis,313,3982,0.1508853158,600.8253275156
Travis,314,4577,0.1329854902,608.6745886454
Travis,315,7661,0.1406296716,1077.3639141276
Travis,316,2200,0.142432914,313.3524108
Travis,317,5114,0.2024251384,1035.2021577776
Travis,318,4402,0.1925391412,847.5572995624
Travis,319,5280,0.1335407885,705.09536328
Travis,320,6078,0.1655381459,1006.1408507802
Travis,321,5123,0.1638428987,839.3671700401
Travis,322,2164,0.1078680828,233.4265311792
Travis,323,4326,0.2177405728,941.9457179328
Travis,324,1461,0.1910720306,279.1562367066
Travis,325,4761,0.1520053159,723.6973089999
Travis,326,6033,0.0952991685,574.9398835605
Travis,327,4350,0.1256990616,546.79091796
Travis,328,2692,0.1432874109,385.7297101428
Travis,329,8218,0.1212727943,996.6198235574
Travis,330,7298,0.1549735752,1130.9971518096
Travis,331,4672,0.101436867,473.913042624
Travis,332,5416,0.1393613681,754.7811696296
Travis,333,9426,0.106391481,1002.846099906
Travis,334,3296,0.1475461468,486.3120998528
Travis,335,5564,0.1340347165,745.769162606
Travis,336,4100,0.1045163045,428.51684845
Travis,337,2896,0.1113971474,322.6061388704
Travis,338,4402,0.1053937491,463.9432835382
Travis,339,5654,0.1007072769,569.3989435926
Travis,340,6765,0.1283609011,868.3614959415
Travis,341,6342,0.1999175683,1267.8772181586
Travis,342,5972,0.1823513425,1089.00221741
Travis,343,4222,0.0950052579,401.1121988538
Travis,344,2199,0.1814068341,398.9136281859
Travis,345,2412,0.1146629464,276.5670267168
Travis,346,4812,0.2100768662,1010.8898801544
Travis,347,5533,0.1260969593,697.6944758069
Travis,348,4939,0.1103832888,545.1830633832
Travis,349,8915,0.0882019785,786.3206383275
Travis,350,7602,0.1387629232,1054.8757421664
Travis,351,4102,0.1050377918,430.8650219636
Travis,352,4118,0.1144084203,471.1338747954
Travis,353,1712,0.140043462,239.754406944
Travis,354,5906,0.0955637112,564.3992783472
Travis,355,3922,0.0854001304,334.9393114288
Travis,356,2563,0.1194769077,306.2193144351
Travis,357,4434,0.1022586899,453.4150310166
Travis,358,4314,0.138428358,597.179936412
Travis,359,2889,0.1237077747,357.3917611083
Travis,360,1997,0.0869889946,173.7170222162
Travis,361,5762,0.096885975,558.25698795
Travis,362,2473,0.0965354298,238.7321178954
Travis,363,1571,0.2206594467,346.6559907657
Travis,364,2695,0.1093089147,294.5875251165
Travis,365,8198,0.096753105,793.18195479
Travis,366,9249,0.1126183091,1041.6067408659
Travis,367,7564,0.1054210575,797.40487893
Travis,368,4278,0.091889657,393.103952646
Travis,369,4256,0.0974372408,414.6928968448
Travis,370,5182,0.1568551528,812.8234018096
Travis,371,2702,0.1203228493,325.1123388086
Travis,372,6069,0.129939552,788.603141088
Travis,373,3307,0.1644765824,543.9240579968
Travis,374,4390,0.145448364,638.51831796
Travis,375,1553,0.1176196192,182.6632686176
Travis,376,4219,0.1079820546,455.5762883574
Travis,400,5896,0.270431177,1594.462219592
Travis,401,4483,0.3018534961,1353.2092230163
Travis,402,3172,0.3195256314,1013.5353028008
Travis,403,6396,0.3043148233,1946.3976098268
Travis,404,3628,0.1559878714,565.9239974392
Travis,405,6328,0.2396004848,1516.1918678144
Travis,406,3544,0.3104934885,1100.388923244
Travis,407,6562,0.3737126201,2452.3022130962
Travis,408,5270,0.2487094141,1310.698612307
Travis,409,6253,0.2400477723,1501.0187201919
Travis,410,7758,0.2826145544,2192.5237130352
Travis,411,1426,0.1428211025,203.662892165
Travis,412,3360,0.2171343478,729.571408608
Travis,413,4437,0.1437896287,637.9945825419
